Name,Address,Latitude,Longitude,Ward,Primary SIC,Primary SIC description,SIC_Code_1,SIC_Code_2,SIC_Code_3,SIC_Code_4,Primary NAICS,Primary NAICS description,NAICS_1,NAICS1_Description,NAICS_2,NAICS2 Description,Employee # Range,Employee #,Location Sales Range,Location Sales,Lat2,Long2,WARD_ID
Washington Sports Clubs,214 D St SE,38.885254,-77.002719,6,799101,Health Clubs Studios & Gymnasiums,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,50 to 99,50,$2.5-5 Million,"$2,800,000 ",38.8852997,-77.0027008,6
Washington Sports Clubs,1211 Connecticut Ave NW,38.906322,-77.040971,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,804101,Chiropractors DC,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,621310,Offices Of Chiropractors,50 to 99,70,$2.5-5 Million,"$3,920,000 ",38.9062996,-77.0410004,2
Washington Sports Clubs,1345 F St NW,38.897401,-77.031945,2,799101,Health Clubs Studios & Gymnasiums,596104,E-Commerce,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,454111,Electronic Shopping,713940,Fitness & Recreational Sports Centers,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.8973999,-77.0318985,2
Washington Sports Clubs,3222 M St NW # 309,38.904356,-77.064007,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,20 to 49,25,$1-2.5 Million,"$1,400,000 ",38.9043999,-77.064003,2
Washington Sports Clubs,783 7th St NW,38.899762,-77.021859,2,799101,Health Clubs Studios & Gymnasiums,596104,E-Commerce,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,454111,Electronic Shopping,713940,Fitness & Recreational Sports Centers,20 to 49,40,$1-2.5 Million,"$2,240,000 ",38.8997993,-77.0218964,2
Washington Sports Clubs,1835 Connecticut Ave NW,38.915151,-77.046167,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,20 to 49,45,$2.5-5 Million,"$2,520,000 ",38.9151001,-77.0462036,1
Washington Sports Clubs,3100 14th St NW # 302,38.929614,-77.033696,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799999,Amusement & Recreation NEC,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,713990,All Other Amusement & Recreation Industries,20 to 49,30,$1-2.5 Million,"$1,680,000 ",38.9295998,-77.033699,1
Washington Sports Clubs,2251 Wisconsin Ave NW,38.920647,-77.07045,3,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799720,Sports Clubs,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,713990,All Other Amusement & Recreation Industries,20 to 49,30,$1-2.5 Million,"$1,680,000 ",38.9206009,-77.0703964,3
Washington Tennis & Edu Fndtn,200 Stoddert SE,38.859541,-76.971061,8,799703,Tennis Courts-Private,799703,Tennis Courts-Private, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,10 to 19,10,"$500,000-1 Million","$729,000 ",38.8595009,-76.9710999,8
Water Street Gym,3255 K St NW,38.903087,-77.064875,2,729906,Exercise & Physical Fitness Programs,729906,Exercise & Physical Fitness Programs,799102,Gymnasiums, , ,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,6,$1-2.5 Million,"$1,104,000 ",38.9030991,-77.0649033,2
Waterside Fitness & Swim Club,901 6th St SW,38.878619,-77.020627,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,10 to 19,12,"$500,000-1 Million","$672,000 ",38.8786011,-77.0205994,6
White House Athletic Ctr,725 17th St NW # 2,38.898792,-77.038438,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,999966,Federal Government Contractors,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,999990,Unclassified Establishments,1 to 4,3,"Less Than $500,000","$168,000 ",38.8987999,-77.0383987,2
Work It Studio,1020 U St NW,38.916964,-77.026588,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,3,"Less Than $500,000","$168,000 ",38.9169998,-77.0266037,1
Xtend Barre Dc,1228 9th St NW,38.906434,-77.024463,2,799107,Pilates,729906,Exercise & Physical Fitness Programs,799107,Pilates,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,5,"Less Than $500,000","$280,000 ",38.9063988,-77.024498,2
YMCA,1112 16th St NW # 720,38.904211,-77.036971,2,832222,Youth Organizations & Centers,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums, , ,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,20 to 49,30, ,$0 ,38.9042015,-77.0370026,2
YMCA,1315 N St NW,38.903239,-77.031954,2,832222,Youth Organizations & Centers,799101,Health Clubs Studios & Gymnasiums,832222,Youth Organizations & Centers, , ,713940,Fitness & Recreational Sports Centers,624110,Child & Youth Services,20 to 49,30, ,$0 ,38.9031982,-77.0319977,2
Ymca-Metropolitan WA,1112 16th St NW # 7,38.904211,-77.036971,2,832222,Youth Organizations & Centers,799701,Recreation Centers,832218,Social Service & Welfare Organizations, , ,713940,Fitness & Recreational Sports Centers,624190,Other Individual & Family Services,20 to 49,35, ,$0 ,38.9042015,-77.0370026,2
Your Body Your Business,5111 B St SE,38.88612,-76.927539,7,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,804946,Alternative Medicine,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,621399,Offices Of All Other Misc Health Practitioners,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.8861008,-76.9274979,7
