Name,Address,Latitude,Longitude,Ward,Primary SIC,Primary SIC description,SIC_Code_1,SIC_Code_2,SIC_Code_3,SIC_Code_4,Primary NAICS,Primary NAICS description,NAICS_1,NAICS1_Description,NAICS_2,NAICS2 Description,Employee # Range,Employee #,Location Sales Range,Location Sales,Lat2,Long2,WARD_ID
Definitions Personal Training,1070 Thomas Jefferson St NW,38.90457,-77.060277,2,799106,Personal Trainers-Fitness,729906,Exercise & Physical Fitness Programs,799106,Personal Trainers-Fitness,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,8,"Less Than $500,000","$448,000 ",38.9045982,-77.0603027,2
Degeyndt Lieven,1240 Upshur St NW,38.941562,-77.027754,4,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9416008,-77.0278015,4
Dellfitness Personal Training,1070 Thomas Jefferson St NW,38.90457,-77.060277,2,799106,Personal Trainers-Fitness,799106,Personal Trainers-Fitness, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,1,"Less Than $500,000","$56,000 ",38.9045982,-77.0603027,2
Deshaye The Body Coach,5520 Connecticut Ave NW # Ll7,38.963649,-77.075322,3,804101,Chiropractors DC,729901,Health & Fitness Program Consultants,799106,Personal Trainers-Fitness, , ,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,1 to 4,3,"Less Than $500,000","$347,000 ",38.9636002,-77.0753021,3
District Cross Fit,624 New York Ave NW,38.903009,-77.020714,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,2,"Less Than $500,000","$112,000 ",38.9029999,-77.0206985,6
District Cross Fit NW,639 New York Ave NW,38.903468,-77.021066,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,809907,Health Services,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,621999,All Other Misc Ambulatory Health Care Services,1 to 4,2,"Less Than $500,000","$112,000 ",38.9034996,-77.0211029,6
Dnv Rooftop,1155 14th St NW,38.905092,-77.031588,2,799969,Swimming Pools-Public,581208,Restaurants,581301,Bars, , ,722511,Full-Service Restaurants,722410,Drinking Places Alcoholic Beverages,5 to 9,9,$1-2.5 Million,"$1,369,000 ",38.9051018,-77.031601,2
Downtown Boxing Club,755 Gresham Pl NW,38.926574,-77.024922,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799102,Gymnasiums,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,1 to 4,1,"Less Than $500,000","$56,000 ",38.9266014,-77.0249023,1
East Potomac Tennis Ctr,1090 Ohio Dr SW,38.87527,-77.034146,2,449306,Marinas,449306,Marinas,799971,Tennis Courts-Public, , ,713930,Marinas,713940,Fitness & Recreational Sports Centers,10 to 19,10,$1-2.5 Million,"$2,097,000 ",38.8753014,-77.0341034,2
Elements Center Inc,2233 Wisconsin Ave NW # 217,38.919915,-77.070153,3,729906,Exercise & Physical Fitness Programs,729906,Exercise & Physical Fitness Programs,799107,Pilates, , ,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,10 to 19,15,$2.5-5 Million,"$2,762,000 ",38.919899,-77.0701981,3
Elizabeth Arden Red Door Spa,1401 Pennsylvania Ave NW,38.89646,-77.032466,2,723119,Spas-Beauty & Day,723119,Spas-Beauty & Day,799105,Health Spas, , ,812112,Beauty Salons,713940,Fitness & Recreational Sports Centers,10 to 19,12,$1-2.5 Million,"$1,569,000 ",38.8964996,-77.0325012,2
Equinox Fitness Club,1170 22nd St NW,38.904451,-77.049134,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799720,Sports Clubs,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,713990,All Other Amusement & Recreation Industries,50 to 99,80,$2.5-5 Million,"$4,480,000 ",38.9043999,-77.0491028,2
"Estee, Elle A",621 Pennsylvania Ave SE,38.885004,-76.997637,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.8849983,-76.9975967,6
Events Dc,2400 E Capitol St NE,38.889634,-76.976524,7,799935,Halls & Auditoriums,738931,Convention & Meeting Facilities & Svc,738944,Events-Special,713940,Fitness & Recreational Sports Centers,561920,Convention & Trade Show Organizers,711310,Promoters With Facilities,20 to 49,25,$2.5-5 Million,"$3,803,000 ",38.8895988,-76.9765015,7
Evolution Personal Training,1224 M St NW # T,38.905419,-77.029001,2,799949,Yoga Instruction,729901,Health & Fitness Program Consultants,799106,Personal Trainers-Fitness, , ,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,10 to 19,10,$1-2.5 Million,"$1,521,000 ",38.9053993,-77.0289993,2
Ferc Fitness Ctr,888 1st St NE,38.901654,-77.006004,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,2,"Less Than $500,000","$112,000 ",38.9016991,-77.0059967,6
Fit 4 Life DC,4400 Jenifer St NW # 200,38.958656,-77.0865,3,799106,Personal Trainers-Fitness,729906,Exercise & Physical Fitness Programs,799106,Personal Trainers-Fitness,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,1 to 4,4,"Less Than $500,000","$224,000 ",38.9586983,-77.0865021,3
Fit Club At Washington Ctr,1001 H St NE,38.900059,-76.992461,6,799101,Health Clubs Studios & Gymnasiums,701101,Hotels & Motels,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,721110,Hotels (Except Casino Hotels) & Motels,713940,Fitness & Recreational Sports Centers,5 to 9,6,"Less Than $500,000","$336,000 ",38.9001007,-76.9925003,6
Fit Physique Training Studio,3525 Connecticut Ave NW,38.935995,-77.058696,3,799101,Health Clubs Studios & Gymnasiums,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,20 to 49,25,$1-2.5 Million,"$1,400,000 ",38.9360008,-77.0587006,3
Fitness Factory,5926 Georgia Ave NW,38.962082,-77.028214,4,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.962101,-77.0281982,4
Fitness Together,408 H St NE,38.900374,-77.000109,6,799106,Personal Trainers-Fitness,729901,Health & Fitness Program Consultants,729906,Exercise & Physical Fitness Programs, , ,812191,Diet & Weight Reducing Centers,812191,Diet & Weight Reducing Centers,1 to 4,4,"Less Than $500,000","$224,000 ",38.9003983,-77.0000992,6
Fitness Together,3222 N St NW # 2,38.906805,-77.064104,2,799106,Personal Trainers-Fitness,729901,Health & Fitness Program Consultants,729906,Exercise & Physical Fitness Programs, , ,812191,Diet & Weight Reducing Centers,812191,Diet & Weight Reducing Centers,1 to 4,4,"Less Than $500,000","$224,000 ",38.9067993,-77.0641022,2
Foho,1000 Independence Ave SW,38.887557,-77.026477,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,5,"Less Than $500,000","$280,000 ",38.8875999,-77.0264969,2
Fort Dupont Ice Hockey Club,PO Box 63505,38.891358,-76.95199,7,799705,Hockey Clubs,799705,Hockey Clubs, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,7,"$500,000-1 Million","$510,000 ",38.8913994,-76.9520035,7
Fort Dupont Ice Rink,3779 Ely Pl SE,38.882773,-76.947017,7,799901,Skating Rinks,799901,Skating Rinks, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,10 to 19,15,$1-2.5 Million,"$2,281,000 ",38.8828011,-76.9469986,7
Foundation Fitness,4380 Macarthur Blvd NW # 100,38.906567,-77.081568,3,799101,Health Clubs Studios & Gymnasiums,729901,Health & Fitness Program Consultants,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,1 to 4,3,"Less Than $500,000","$168,000 ",38.906601,-77.0815964,3
Four Seasons Fitness Club,2800 Pennsylvania Ave NW,38.904607,-77.057562,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,10 to 19,12,"$500,000-1 Million","$672,000 ",38.9045982,-77.0576019,2
From The Core Studios Damara,3111 Georgia Ave NW,38.92941,-77.023022,1,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9294014,-77.0230026,1
Fuel Pilates,3214 O St NW # 1,38.907716,-77.064108,2,799107,Pilates,517206,Oils-Fuel (Whls),729906,Exercise & Physical Fitness Programs,713940,Fitness & Recreational Sports Centers,424720,Other Petroleum Merchant Wholesale,812191,Diet & Weight Reducing Centers,5 to 9,5,"Less Than $500,000","$280,000 ",38.9076996,-77.0641022,2
Fuse 360 II LLC,1401 14th St NW,38.908891,-77.031893,2,799107,Pilates,799101,Health Clubs Studios & Gymnasiums,799107,Pilates, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,1 to 4,1,"Less Than $500,000","$56,000 ",38.9089012,-77.0318985,2
Fuse Pilates,2008 Hillyer Pl NW,38.911719,-77.045373,2,799107,Pilates,729906,Exercise & Physical Fitness Programs,799107,Pilates,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,5,"Less Than $500,000","$280,000 ",38.9117012,-77.0454025,2
